NomEquipement,Item,Reference,Prix
Courant fort,1xT13,E1XT13,0
Courant fort,2xT13,E2XT13,0
Courant fort,2xT13 commande,E2XT13C,0
Courant fort,3xT13,E3XT13,0
Courant fort,3xT13 commande,E3XT13C,0
Courant fort,1xT23,E1XT23,0
Courant fort,2xT23,E2XT23,0
Courant fort,3xT23,E3XT23,0
Courant fort,3xT23 commande,E3XT23C,0
Courant fort,1xT25,E1XT25,0
Courant faible,RJ45,E1XRJ45,0
Inter: Poussoir carre,ON-OFF,PC-ON-OFF,0
Inter: Poussoir carre,OFFM-ON,PC-OFFM-ON,0
Inter: Poussoir carre,ONM-OFF,PC-ONM-OFF,0
Inter: Poussoir carre,ONM-OFF KNX,PC-ONM-OFFKNX,0
Inter: Poussoir Rond,ON-OFF,PR-ON-OFF,0
Inter: Poussoir Rond,OFFM-ON,PR-OFFM-ON,0
Inter: Poussoir Rond,ONM-OFF,PR-ONM-OFF,0
Inter: Poussoir Rond,ONM-OFF KNX,PC-ONM-OFFKNX,0
Inter: Levier meulete,ON-OFF,LM-ON-OFF,0
Inter: Levier meulete,ON-OFF-ON,LM-ON-OFF-ON,0
Inter: Levier meulete,ON-ON,LM-ON-ON,0
Inter: Levier meulete,OFFM-ON,LM-OFFM-ON,0
Inter: Levier meulete,ONM-OFF-ON,LM-ONM-OFF-ON,0
Inter: Levier meulete,ONM-OFF,LM-ONM-OFF,0
Inter: Levier meulete,ONM-OFF-ONM,LM-ONM-OFF-ONM,0
Inter: Levier meulete,ONM-ON,LM-ONM-ON,0
Inter: Levier Goutte d'eau,ON-OFF,LG-ON-OFF,0
Inter: Levier Goutte d'eau,ON-OFF-ON,LG-ON-OFF-ON,0
Inter: Levier Goutte d'eau,ON-ON,LG-ON-ON,0
Inter: Levier Goutte d'eau,OFFM-ON,LG-OFFM-ON,0
Inter: Levier Goutte d'eau,ONM-OFF-ON,LG-ONM-OFF-ON,0
Inter: Levier Goutte d'eau,ONM-OFF,LG-ONM-OFF,0
Inter: Levier Goutte d'eau,ONM-OFF-ONM,LG-ONM-OFF-ONM,0
Inter: Levier Goutte d'eau,ONM-ON,LG-ONM-ON,0
Inter: Levier Tube,ON-OFF,LTC-ON-OFF,0
Inter: Levier Tube,ON-OFF-ON,LTC-ON-OFF-ON,0
Inter: Levier Tube,ON-ON,LTC-ON-ON,0
Inter: Levier Tube,OFFM-ON,LTC-OFFM-ON,0
Inter: Levier Tube,ONM-OFF-ON,LTC-ONM-OFF-ON,0
Inter: Levier Tube,ONM-OFF,LTC-ONM-OFF,0
Inter: Levier Tube,ONM-OFF-ONM,LTC-ONM-OFF-ONM,0
Inter: Levier Tube,ONM-ON,LTC-ONM-ON,0
Inter: Levier Cylindrique,ON-OFF,LC-ON-OFF,0
Inter: Levier Cylindrique,ON-OFF-ON,LC-ON-OFF-ON,0
Inter: Levier Cylindrique,ON-ON,LC-ON-ON,0
Inter: Levier Cylindrique,OFFM-ON,LC-OFFM-ON,0
Inter: Levier Cylindrique,ONM-OFF-ON,LC-ONM-OFF-ON,0
Inter: Levier Cylindrique,ONM-OFF,LC-ONM-OFF,0
Inter: Levier Cylindrique,ONM-OFF-ONM,LC-ONM-OFF-ONM,0
Inter: Levier Cylindrique,ONM-ON,LC-ONM-ON,0
Variateur,Variateur,VAR001,0
Thermostat,Thermostat,THER001,0
Combinaison,Combinaison,COMB001,0
Interrupteur rotatif,Interrupteur rotatif,ROTA001,0
Autres,Autres,AUT001,0
